true_values,predictions,errors
19949.5,19962.27135871348,-12.771358713478548
19822.5,19949.958542996254,-127.45854299625353
19847.0,19826.437664948815,20.562335051185073
19845.5,19858.390591933574,-12.890591933573887
19897.5,19851.406191940005,46.093808059995354
19890.0,19896.25443506858,-6.254435068578459
19919.0,19887.740516922113,31.259483077887126
19913.5,19915.78294731373,-2.282947313731711
19950.0,19912.267430780663,37.732569219337165
19955.5,19949.194581546675,6.305418453324819
19985.0,19955.397291691275,29.602708308724687
19966.0,19983.04003326828,-17.04003326828024
19991.0,19964.15788303264,26.842116967360198
19975.0,19988.907276908707,-13.90727690870699
19970.5,19973.13884688468,-2.6388468846816977
19964.5,19970.552807942004,-6.05280794200371
19927.0,19963.584533312653,-36.58453331265264
19935.0,19928.29769417905,6.702305820948823
19946.0,19937.489436338794,8.510563661206106
19990.0,19946.66697259758,43.33302740241925
19972.0,19984.26787144855,-12.267871448548249
19980.5,19967.331661339194,13.168338660805603
19970.0,19976.956007205514,-6.9560072055137425
19989.5,19969.236081577772,20.263918422228016
19986.5,19987.91828475786,-1.4182847578595101
20018.0,19984.477417722348,33.52258227765196
19770.0,19989.904484870513,-219.90448487051253
19612.5,19763.51277067021,-151.01277067021147
19631.0,19612.0203905216,18.979609478399652
19612.0,19624.197803729712,-12.197803729712177
19581.5,19607.98695466174,-26.486954661741038
19595.0,19571.522909137555,23.47709086244504
19634.0,19579.845561289094,54.154438710906106
19643.5,19617.76506248194,25.73493751806018
19643.0,19632.367268557977,10.632731442023214
19633.5,19624.829736455365,8.670263544634508
19594.5,19621.122048110276,-26.6220481102755
19586.0,19578.932390606282,7.067609393718158
19549.0,19569.522426313146,-20.522426313145843
19574.0,19531.47622130841,42.52377869158954
19584.0,19559.757138075947,24.242861924052704
19386.5,19563.817061675167,-177.31706167516677
19410.5,19361.396658303034,49.1033416969658
19401.0,19392.562930202428,8.437069797571894
19431.0,19384.92813632738,46.071863672619656
19441.5,19410.48340508099,31.01659491900864
19473.0,19424.140232764028,48.85976723597196
19412.5,19455.993298489993,-43.49329848999332
19443.0,19399.505105372882,43.4948946271179
19414.0,19435.278326908305,-21.278326908304734
19421.0,19408.731422602294,12.268577397706395
19449.5,19413.897070246272,35.60292975372795
19448.5,19445.373454756333,3.1265452436673513
19425.5,19451.110771032636,-25.610771032635967
19435.5,19424.656608725196,10.843391274804162
19456.0,19435.080201770706,20.91979822929352
19452.0,19454.80890311847,-2.8089031184717896
19535.5,19451.680492337524,83.8195076624761
19518.5,19525.713305838348,-7.213305838347878
19542.5,19509.413535265176,33.0864647348244
19575.0,19533.936240278563,41.063759721437236
19596.0,19563.393308371637,32.60669162836348
19579.5,19591.700148266893,-12.200148266892938
19555.0,19578.480921405124,-23.48092140512381
19564.5,19556.83549438854,7.664505611461209
19549.0,19568.826983440398,-19.82698344039818
19558.0,19553.63186890626,4.368131093739066
19540.5,19561.26968371333,-20.76968371332987
19527.0,19545.39311019309,-18.39311019309025
19542.0,19530.993641939618,11.0063580603819
19523.0,19546.181189572817,-23.181189572816947
19517.5,19524.001402892984,-6.501402892983606
19551.0,19523.06716244214,27.932837557858875
19579.5,19547.854005878482,31.645994121518015
19542.5,19577.044020233323,-34.544020233322954
19565.0,19540.98959844724,24.010401552761323
19554.0,19565.231768932008,-11.23176893200798
19561.0,19554.892144866433,6.107855133566773
19579.0,19564.916229581468,14.083770418532367
19586.0,19578.710868254824,7.289131745175837
19589.0,19584.722393263568,4.2776067364320625
19568.0,19588.26662290221,-20.266622902210656
19565.0,19572.258961964926,-7.258961964926129
19550.0,19572.137244268004,-22.137244268003997
19520.5,19558.68462724874,-38.18462724873825
19518.0,19532.70162172724,-14.701621727239399
19530.0,19531.152840311748,-1.1528403117481503
19495.0,19538.956481635818,-43.95648163581791
19500.0,19500.772243991567,-0.7722439915669383
19500.5,19508.083012264804,-7.583012264803983
19465.5,19507.10829121022,-41.60829121022107
19437.0,19468.08519732754,-31.08519732753848
19450.0,19441.90717739348,8.092822606518894
19462.0,19456.447382593487,5.5526174065125815
19494.5,19466.52145218109,27.978547818911466
19498.5,19494.88780058811,3.612199411891197
19475.0,19498.894029778745,-23.89402977874488
19499.5,19477.268412979513,22.231587020487495
19489.5,19502.903418793514,-13.403418793513993
19503.5,19492.954510586118,10.545489413882024
19491.0,19507.643055253287,-16.643055253287457
19512.5,19496.38077815029,16.119221849708993
19511.0,19515.793683204844,-4.793683204843546
19490.5,19512.272806120694,-21.77280612069444
19492.0,19493.95736510922,-1.9573651092214277
19466.0,19497.168577284225,-31.16857728422474
19475.0,19473.1860376226,1.8139623774004576
19460.0,19481.721353676854,-21.72135367685405
19483.0,19465.763035016687,17.236964983312646
19485.5,19485.696410143908,-0.19641014390799683
19497.0,19486.24626207931,10.753737920691492
19494.5,19496.189465212945,-1.6894652129449241
19511.0,19494.039799394388,16.960200605612044
19495.5,19509.693114937854,-14.193114937854261
19495.5,19496.79560251584,-1.2956025158382545
19496.0,19500.52258832268,-4.522588322681258
19495.0,19500.76579418494,-5.7657941849392955
19514.0,19500.978060007626,13.021939992373518
19533.5,19513.95793360134,19.54206639865879
19528.0,19527.8488655372,0.15113446280156495
19482.5,19524.75987801237,-42.25987801236988
19495.0,19488.748313149597,6.251686850402621
19500.5,19505.8042050454,-5.304205045398703
19508.0,19507.586146142105,0.4138538578954467
19488.0,19510.89564661514,-22.895646615139412
19496.5,19492.662526270717,3.8374737292833743
19480.0,19502.483978727832,-22.483978727832437
19474.5,19486.46235850484,-11.962358504839358
19460.5,19483.92881416087,-23.428814160870388
19432.5,19470.77689793239,-38.27689793238824
19475.0,19444.379501899148,30.620498100852274
19491.0,19476.444928576726,14.555071423274057
19482.5,19487.497613702286,-4.997613702285889
19461.5,19479.92354592357,-18.42354592357151
19472.5,19464.357298748026,8.142701251974358
19483.0,19476.82720335404,6.172796645958442
19486.5,19487.480766566827,-0.9807665668267873
19486.5,19488.752884215417,-2.252884215416998
19501.5,19488.306723883612,13.193276116388006
19519.5,19500.621313758507,18.878686241492687
19485.0,19515.478157345082,-30.478157345081854
19484.5,19485.910438790965,-1.4104387909646903
19480.0,19491.128853681843,-11.128853681842884
19492.5,19487.059364102603,5.440635897397442
19496.0,19495.885401039923,0.11459896007727366
19489.5,19495.802867796938,-6.3028677969377895
19486.0,19490.366170154488,-4.366170154487918
19464.5,19489.206394596633,-24.70639459663289
19451.0,19470.11661214215,-19.11661214214837
19454.5,19461.11325269586,-6.613252695860865
19437.5,19464.878679382826,-27.378679382825794
19458.0,19447.315502627658,10.684497372341866
19424.0,19462.463164408986,-38.463164408985904
19465.0,19428.336031514096,36.66396848590375
19438.0,19465.770144896807,-27.770144896807324
19447.5,19440.11855855643,7.3814414435692015
19431.0,19449.953176700415,-18.953176700415497
19425.5,19435.601801156045,-10.10180115604453
19327.5,19431.592634433855,-104.09263443385498
19310.5,19322.131961724284,-11.631961724284338
19285.5,19318.516641185626,-33.01664118562621
19350.5,19291.11394386975,59.386056130249926
19352.5,19350.238327219406,2.261672780594381
19354.5,19354.664135271592,-0.16413527159238583
19398.5,19356.898147175867,41.60185282413295
19399.0,19400.043863729134,-1.0438637291335908
19402.5,19399.648052806348,2.8519471936524496
19405.0,19405.36131297711,-0.36131297711108346
19429.5,19405.320059558173,24.179940441827057
19393.0,19426.800732419575,-33.80073241957507
19383.0,19391.57159254627,-8.57159254626822
19389.0,19384.737168548,4.2628314520006825
19396.0,19390.569832704063,5.430167295937281
19407.5,19395.618678480656,11.881321519344056
19360.5,19406.258503973742,-45.758503973742336
19390.5,19358.387848409264,32.112151590736175
19384.0,19390.144437745108,-6.144437745108007
19377.0,19381.99194325496,-4.99194325496137
19361.5,19375.248700648623,-13.748700648622616
19356.5,19362.10576175021,-5.60576175020833
19363.5,19360.809255303644,2.690744696355978
19370.0,19368.73558821222,1.264411787778954
19335.0,19374.225729248392,-39.22572924839187
19362.0,19342.247353833016,19.75264616698405
19343.0,19368.770268088818,-25.77026808881783
19335.0,19349.32065358791,-14.320653587910783
19353.5,19341.61329623569,11.886703764310369
19378.5,19358.20284295776,20.29715704224145
19380.0,19378.179096926917,1.8209030730831728
19385.0,19380.705776463026,4.294223536973732
19391.5,19385.43417774344,6.06582225656166
19399.5,19392.376309695825,7.123690304175398
19416.0,19400.620527026505,15.379472973494558
19388.0,19415.37393401179,-27.37393401178997
19394.0,19389.759534561585,4.240465438415413
19420.0,19399.09317986789,20.906820132109715
19412.0,19420.861802157993,-8.861802157993225
19399.0,19412.755713040413,-13.755713040412957
19407.0,19402.060434786123,4.9395652138773585
19400.0,19410.64084273165,-10.640842731649172
19411.5,19404.378123097158,7.121876902841905
19386.5,19414.419054103062,-27.91905410306208
19370.0,19390.127608621868,-20.127608621867694
19388.5,19376.84675671387,11.653243286131328
19378.5,19393.93978837611,-15.439788376108481
19394.0,19383.710461401173,10.289538598826766
19407.0,19397.922445223983,9.077554776016768
19405.5,19407.080703542626,-1.5807035426259972
19401.0,19405.856983416706,-4.856983416706498
19412.0,19403.622337837474,8.377662162525667
19523.5,19412.730378198416,110.76962180158444
19476.5,19503.829040202767,-27.32904020276692
19496.5,19465.478124371737,31.021875628262933
19510.0,19497.7752310018,12.224768998199579
19495.5,19515.488888031567,-19.988888031566603
19462.0,19503.10316695317,-41.10316695316942
19475.0,19469.500892765256,5.49910723474386
19504.5,19483.362610167384,21.137389832616464
19501.5,19508.931700300633,-7.431700300632656
